subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim100030050506,100,30,0.05,0.05,0.0156470282241891,0.210041615833435,1.04040403142327e-07,96
sim100030051006,100,30,0.05,0.1,0.035310151252692,0.0720183173980279,1.04040403555531e-07,95
sim100030051506,100,30,0.05,0.15,0.0284992507216579,0.089546633297353,1.04040403554502e-07,95
sim100030052006,100,30,0.05,0.2,0.0186897518010056,0.141655484994042,1.04040403562816e-07,95
sim100030052506,100,30,0.05,0.25,0.00987813692218965,0.235523503483631,1.04040403783437e-07,96
sim100030053006,100,30,0.05,0.3,0.0237694776490214,0.0776438456587839,1.00808080773263e-07,97
sim100030053506,100,30,0.05,0.35,0.11018728885478,0.0201802419810789,1.04040403544268e-07,96
sim100030054006,100,30,0.05,0.4,0.0419024800935045,0.0193322890550482,1.03232324924088e-07,93
sim100030054506,100,30,0.05,0.45,0.0125011986561888,0.216163395376821,1.04040403313045e-07,96
sim100030055006,100,30,0.05,0.5,1.81168195189974e-05,0.146630550500308,0.343381205197686,65
sim100030055506,100,30,0.05,0.55,0.69172232376474,0.0198959708351638,0.0101010053003167,8
sim100030056006,100,30,0.05,0.6,0.724227442649147,0.0184188784182417,0.0101010053225216,12
sim100030056506,100,30,0.05,0.65,0.718647954832489,0.0336520661252673,0.0101010052272013,9
sim100030057006,100,30,0.05,0.7,0.804512072347743,0.0181238304254119,0.0101010053060885,11
sim100030057506,100,30,0.05,0.75,0.802343314862447,0.032296088508255,0.010101007046624,5
sim100030058006,100,30,0.05,0.8,0.933220566784283,0.00359019168535282,0.0101010052380426,10
sim100030058506,100,30,0.05,0.85,0.975510613948525,0.0172672653108989,0.0101010185114251,12
sim100030059006,100,30,0.05,0.9,0.981629808051173,0.068089241759602,1.00808080722566e-07,11
sim100030059506,100,30,0.05,0.95,0.991925685302844,0.0428492007177627,1.04040403554261e-07,7
sim100030950506,100,30,0.95,0.05,0.0300198057891305,0.0503802173446136,0.0101010049760486,9
sim100030951006,100,30,0.95,0.1,0.0105083598342492,0.0112336390087634,0.0101010052690524,6
sim100030951506,100,30,0.95,0.15,0.0255775333534707,0.0350639819830176,0.0101010059459654,9
sim100030952006,100,30,0.95,0.2,0.262286271039965,0.0388414077494763,0.0101010050920308,5
sim100030952506,100,30,0.95,0.25,0.112830318587862,0.0650788360783701,0.0101010052145777,7
sim100030953006,100,30,0.95,0.3,0.162731205469569,0.0224433509949617,0.0101010187989476,8
sim100030953506,100,30,0.95,0.35,0.292916831137376,0.0143314736125678,0.0101010053159815,6
sim100030954006,100,30,0.95,0.4,0.390392164045848,0.0058642235610687,0.0101010052383563,11
sim100030954506,100,30,0.95,0.45,0.286276719860945,0.0283199751294596,0.010101005254828,2
sim100030955006,100,30,0.95,0.5,0.499820654378028,0.0353401083583979,0.192326750738731,48
sim100030955506,100,30,0.95,0.55,0.534079416508607,0.00168988763873698,1.16161611310128e-07,91
sim100030956006,100,30,0.95,0.6,0.962174923139234,0.0425289169056319,1.00161617171803e-07,96
sim100030956506,100,30,0.95,0.65,0.971186878481766,0.046008551217789,1.00808080726092e-07,96
sim100030957006,100,30,0.95,0.7,0.97636086500334,0.161022395129086,1.04040403543124e-07,94
sim100030957506,100,30,0.95,0.75,0.990029594939103,0.244995403924364,1.20202010822345e-07,94
sim100030958006,100,30,0.95,0.8,0.959452273812947,0.0509259808777534,1.04040403540834e-07,91
sim100030958506,100,30,0.95,0.85,0.978067863582801,0.117568888365989,1.04040403564738e-07,95
sim100030959006,100,30,0.95,0.9,0.991880755296718,0.0842955094519578,1.0404040353754e-07,93
sim100030959506,100,30,0.95,0.95,0.988032428390588,0.217928053575705,1.04040403204058e-07,95
sim100110050506,100,110,0.05,0.05,0.0176604912938492,0.277476924101211,1.06058863943181e-07,72
sim100110051006,100,110,0.05,0.1,0.0617423110975742,0.282261454551514,2.50124940470643e-07,90
sim100110051506,100,110,0.05,0.15,0.0895619652724321,0.0731229734465017,0.0110673215676063,81
sim100110052006,100,110,0.05,0.2,0.132401751119335,0.147663683127695,1.04675247333859e-07,86
sim100110052506,100,110,0.05,0.25,0.197806440910182,0.0635659223818169,1.02206295900983e-07,76
sim100110053006,100,110,0.05,0.3,0.276288405774495,9.18923404303922e-05,1.16161613707726e-07,81
sim100110053506,100,110,0.05,0.35,0.288888117361113,0.00112237032966085,1.16161616500626e-07,78
sim100110054006,100,110,0.05,0.4,0.38034359380483,9.29891420523926e-05,1.64646445472773e-07,73
sim100110054506,100,110,0.05,0.45,0.475586817880671,0.00012052439453152,1.16161613750457e-07,62
sim100110055006,100,110,0.05,0.5,8.3323618751709e-07,4.57492105453318,2.32009003952311e-07,70
sim100110055506,100,110,0.05,0.55,0.55661132378926,0.00036272485619297,0.0101010059062996,25
sim100110056006,100,110,0.05,0.6,0.615490136138137,0.000298447762214806,0.0101010079603715,29
sim100110056506,100,110,0.05,0.65,0.692243449999942,0.00133853113253398,1.16161613744858e-07,35
sim100110057006,100,110,0.05,0.7,0.720107982313944,0.000892565857222586,0.0101010059393243,41
sim100110057506,100,110,0.05,0.75,0.822526879191937,0.027329381083857,1.04237612280867e-07,35
sim100110058006,100,110,0.05,0.8,0.856992454554862,0.00376900640928061,0.0202020251033303,46
