"","subID","N","sigma","H_true","H_subj","noise","lapse","H_subj_EST_avg","H_subj_EST_stder","noise_EST_avg","noise_EST_stder","lapse_EST_avg","lapse_EST_stder","pct_avg","pct_stder"
"158471","150_160_0.05_0.7_0.01_0.05",150,160,0.05,0.7,0.01,0.05,0.700779899892756,0.0112876681193802,0.0116694331280705,0.0045528146058948,0.0533940893805057,0.00796377378945897,0.388,0.0134733390144214
"158481","150_160_0.05_0.7_0.5_0.05",150,160,0.05,0.7,0.5,0.05,0.736611907473731,0.0338469802146909,0.467202733713684,0.148173696261656,0.1549901240962,0.0460683907082748,0.458666666666667,0.00987827145373017
"158491","150_160_0.05_0.7_1_0.05",150,160,0.05,0.7,1,0.05,0.711835227723409,0.0387981405742432,1.19482278796545,0.488704349255839,0.176463179798089,0.0599900191395329,0.497333333333333,0.00984823102496016
"158501","150_160_0.05_0.7_1.5_0.05",150,160,0.05,0.7,1.5,0.05,0.690602760318007,0.0661384002519217,0.873143990275404,0.506193654923963,0.272922428298913,0.0570103508413026,0.508,0.0110576491596665
"158511","150_160_0.05_0.7_2_0.05",150,160,0.05,0.7,2,0.05,0.696426242933349,0.058870950933329,2.11745630524824,1.09650541177866,0.215230780146378,0.0572408879646214,0.482,0.011420146806693
"158521","150_160_0.05_0.7_2.5_0.05",150,160,0.05,0.7,2.5,0.05,0.745133307695739,0.0552967552750912,2.12651998415732,0.727433873970664,0.168989640088246,0.0582170285318289,0.494666666666667,0.00957362632379469
"158531","150_160_0.05_0.7_3_0.05",150,160,0.05,0.7,3,0.05,0.620139500412246,0.0539946600937582,1.02819490391869,0.839004472743472,0.152248782807882,0.0581533354355796,0.479333333333333,0.0121898561350244
"158541","150_160_0.05_0.7_3.5_0.05",150,160,0.05,0.7,3.5,0.05,0.542530318236419,0.0534556150224262,1.08880477378623,0.57253872202017,0.171026676159342,0.0567484737726762,0.502,0.0133351850566023
"158551","150_160_0.05_0.7_4_0.05",150,160,0.05,0.7,4,0.05,0.473702661433581,0.103423359167327,2.19627225887244,1.15997512528271,0.293065052216612,0.0621321708704312,0.507333333333333,0.0104444444444445
"158561","150_160_0.05_0.7_4.5_0.05",150,160,0.05,0.7,4.5,0.05,0.516455660101603,0.11110198066701,3.12270427225837,1.36766506046154,0.174717300495025,0.0681237274890589,0.503333333333333,0.0186256162380447
"158571","150_160_0.05_0.7_5_0.05",150,160,0.05,0.7,5,0.05,0.552092941881981,0.0911670495689392,0.237646651250004,0.139562030281922,0.32619894304364,0.0560984620571593,0.506,0.0170822267030912
"158581","150_160_0.05_0.7_5.5_0.05",150,160,0.05,0.7,5.5,0.05,0.585066558999097,0.0613503742283898,1.62075468437746,0.767476050617904,0.220143166443439,0.0595503064224052,0.498,0.00770121042273934
"158591","150_160_0.05_0.7_6_0.05",150,160,0.05,0.7,6,0.05,0.546213316599058,0.0600335020214273,0.496323794549085,0.335349183200952,0.134925777152505,0.0532060244390981,0.480666666666667,0.011819632130642
"158601","150_160_0.05_0.7_0.01_0.1",150,160,0.05,0.7,0.01,0.1,0.734826105673547,0.0300528456680273,0.0221738790973748,0.0140066058045154,0.120461052370274,0.0197627991109756,0.420666666666667,0.00822222222222224
"158611","150_160_0.05_0.7_0.5_0.1",150,160,0.05,0.7,0.5,0.1,0.674080458241014,0.0467341723769418,0.253017190789749,0.0915793134435297,0.142476897520534,0.0504912058528152,0.467333333333333,0.00924027683835193
"158621","150_160_0.05_0.7_1_0.1",150,160,0.05,0.7,1,0.1,0.633726125726502,0.0547054473896792,0.665079628200198,0.397570246342593,0.233850841973239,0.0679408217798176,0.478666666666667,0.0117083909976173
"158631","150_160_0.05_0.7_1.5_0.1",150,160,0.05,0.7,1.5,0.1,0.611421561951861,0.0694037409794339,1.14130490942033,0.984129529134486,0.262048649350206,0.0617123831488128,0.49,0.0108525470640665
"158641","150_160_0.05_0.7_2_0.1",150,160,0.05,0.7,2,0.1,0.728531232903785,0.0736575404751253,1.78506953558047,0.636451574536471,0.152474856215975,0.0624045697273039,0.493333333333334,0.0146733991281948
"158651","150_160_0.05_0.7_2.5_0.1",150,160,0.05,0.7,2.5,0.1,0.585962058889715,0.105858951811703,1.32366749724288,0.988285974602705,0.338356221842546,0.0506331621499509,0.504,0.0112524345788197
"158661","150_160_0.05_0.7_3_0.1",150,160,0.05,0.7,3,0.1,0.663778768485065,0.0648539328811318,0.260710782674683,0.184492824841769,0.279936427892964,0.058882832867722,0.491333333333333,0.00860949805680467
"158671","150_160_0.05_0.7_3.5_0.1",150,160,0.05,0.7,3.5,0.1,0.409837250953434,0.0674509490988684,0.0642493046239244,0.0366991736317475,0.217384175675404,0.0591614655993233,0.486666666666667,0.0165402613919364
"158681","150_160_0.05_0.7_4_0.1",150,160,0.05,0.7,4,0.1,0.538916956027361,0.0630353434211556,0.684571083674024,0.61178241814451,0.308797484280245,0.0634564382673137,0.506666666666667,0.0113311544746507
"158691","150_160_0.05_0.7_4.5_0.1",150,160,0.05,0.7,4.5,0.1,0.553807640162868,0.0722799544036379,0.92646920663457,0.772881118694654,0.229035387297618,0.0663773387989244,0.499333333333334,0.0118613387956289
"158701","150_160_0.05_0.7_5_0.1",150,160,0.05,0.7,5,0.1,0.643349347066563,0.0581605849630715,1.63839464632013,0.988082064988834,0.190620009012381,0.0630328474151343,0.494,0.00791622805802527
"158711","150_160_0.05_0.7_5.5_0.1",150,160,0.05,0.7,5.5,0.1,0.49734031978409,0.0824473648672617,0.248554745972212,0.231050215578877,0.219661065225339,0.0613850225255054,0.484,0.0142013736077071
"158721","150_160_0.05_0.7_6_0.1",150,160,0.05,0.7,6,0.1,0.549905251477071,0.0293033764511679,0.279127976095179,0.212009324698677,0.149511403084495,0.0553586131467236,0.472,0.00982815306110933
"158731","150_160_0.05_0.7_0.01_0.15",150,160,0.05,0.7,0.01,0.15,0.694184292999666,0.00377513790073888,0.0113627623552511,0.00448865488514675,0.158710679614109,0.00917488678995372,0.428,0.0169763815598082
"158741","150_160_0.05_0.7_0.5_0.15",150,160,0.05,0.7,0.5,0.15,0.755147930005634,0.0542259892311837,0.704949982026934,0.281786726486741,0.159407773644731,0.0539553708247715,0.465333333333333,0.0117083909976173
"158751","150_160_0.05_0.7_1_0.15",150,160,0.05,0.7,1,0.15,0.771062670572464,0.055239331648887,1.39566377151068,0.991901553390578,0.211187842039626,0.0589812893437018,0.456666666666667,0.00598351645237168
"158761","150_160_0.05_0.7_1.5_0.15",150,160,0.05,0.7,1.5,0.15,0.690980053331619,0.0790340542053223,1.64433282496442,1.02343898927462,0.27817620331831,0.0609260035708181,0.484666666666666,0.0111133331111556
"158771","150_160_0.05_0.7_2_0.15",150,160,0.05,0.7,2,0.15,0.465623950864709,0.0967111912595253,1.04631276033867,0.995125502826077,0.289831278601776,0.0530351357127891,0.508666666666667,0.0198774020211675
"158781","150_160_0.05_0.7_2.5_0.15",150,160,0.05,0.7,2.5,0.15,0.5293979742622,0.0645499539363599,0.565306454399088,0.293261861453294,0.279015140343728,0.056138618032322,0.498,0.0140914123222112
"158791","150_160_0.05_0.7_3_0.15",150,160,0.05,0.7,3,0.15,0.621522626523924,0.0721281190317089,0.987204995858436,0.541193560916619,0.181858230904748,0.0664859960288977,0.492666666666667,0.0142447737871443
"158801","150_160_0.05_0.7_3.5_0.15",150,160,0.05,0.7,3.5,0.15,0.605073211613229,0.0944775174648192,1.34020789084301,0.871966881036073,0.332885522477771,0.06165047148211,0.502,0.0148090729613743
"158811","150_160_0.05_0.7_4_0.15",150,160,0.05,0.7,4,0.15,0.5006244096982,0.0939135604857402,0.202819668576419,0.0818272729339275,0.313119219271258,0.0453441084645705,0.502666666666667,0.0166651851193357
"158821","150_160_0.05_0.7_4.5_0.15",150,160,0.05,0.7,4.5,0.15,0.518765046906101,0.0833912416012458,1.10247371857237,0.563094078466942,0.217201763060838,0.068484769864241,0.472,0.017492149914804
"158831","150_160_0.05_0.7_5_0.15",150,160,0.05,0.7,5,0.15,0.602835168146197,0.0703493892691624,0.663694112637165,0.321014251783924,0.211748217118978,0.0667351513500395,0.514666666666667,0.00893322277432968
"158841","150_160_0.05_0.7_5.5_0.15",150,160,0.05,0.7,5.5,0.15,0.563074917879651,0.0851565635710378,1.90392832088806,0.999684056842675,0.230291102159514,0.0655387487155831,0.528,0.0110128992829901
"158851","150_160_0.05_0.7_6_0.15",150,160,0.05,0.7,6,0.15,0.579800123753607,0.0528364335096963,0.223401757068844,0.167431196500273,0.194477936791815,0.0632180095388852,0.496,0.0080246533712302
