ID,trial,block,sigma,H_true,H_subjective,noise_in_DV,lapse_rate,pct
A1JKSAQ8UNCE7B,T1,3,33,0.2,0.496754092725566,0.00773850345387146,1.02010050462262e-07,98.4924623115578
A1JKSAQ8UNCE7B,T1,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A1JKSAQ8UNCE7B,T1,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A1JKSAQ8UNCE7B,T1,6,140,0.95,0.515164453752213,0.161987052396789,1.16298855161265e-07,73
A1JKSAQ8UNCE7B,T1,2,140,0.05,0.510525771631714,0.175937332446375,0.00893573514894059,68
A1JKSAQ8UNCE7B,T1,4,140,0.2,0.435483181224427,0.275707606849726,0.0874134749603071,67.5
A1JKSAQ8UNCE7B,T2,3,33,0.2,0.496754092725566,0.00773850345387146,1.02010050462262e-07,98.4924623115578
A1JKSAQ8UNCE7B,T2,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A1JKSAQ8UNCE7B,T2,5,33,0.95,0.396472527750481,0.400079702135218,1.02029355577351e-07,99
A1JKSAQ8UNCE7B,T2,6,140,0.95,0.500713302375379,0.131197133724622,1.1459540358456e-07,68
A1JKSAQ8UNCE7B,T2,2,140,0.05,0.531198307328112,0.0904443030631918,1.63491065049057e-07,70.5
A1JKSAQ8UNCE7B,T2,4,140,0.2,0.452890002921531,0.161317406248746,1.07589426148606e-07,67.5
A1KFIQBETMB81I,T1,1,33,0.05,0.585201480274656,0.0111250984624056,0.00502511974927067,98.9949748743718
A1KFIQBETMB81I,T1,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
